,date,open,close,high,low,volume,code
239,2017-12-25,18.921,18.447,19.04,18.227,4635.0,600419
240,2017-12-26,18.497,18.412,18.497,18.177,2207.0,600419
241,2017-12-27,18.57,18.173,18.674,18.142,5513.0,600419
242,2017-12-28,18.111,18.239,18.339,17.999,4378.0,600419
243,2017-12-29,18.258,18.497,18.69,18.088,5309.0,600419
244,2018-01-02,18.458,18.821,18.99,18.458,5239.0,600419
245,2018-01-03,18.821,19.426,19.461,18.747,7818.0,600419
246,2018-01-04,19.387,19.279,19.461,19.048,7288.0,600419
247,2018-01-05,19.306,19.148,19.387,18.952,4380.0,600419
248,2018-01-08,19.075,18.967,19.075,18.771,3805.0,600419
249,2018-01-09,19.048,18.825,19.048,18.697,4477.0,600419
250,2018-01-10,18.821,18.269,18.821,18.173,6527.0,600419
251,2018-01-11,18.354,18.219,18.354,18.096,6436.0,600419
252,2018-01-12,18.258,18.185,18.451,18.111,7083.0,600419
253,2018-01-15,18.096,17.413,18.146,17.398,12093.0,600419
254,2018-01-16,17.533,17.498,17.803,17.147,5281.0,600419
255,2018-01-17,17.348,17.687,17.841,17.344,6639.0,600419
256,2018-01-18,17.687,17.834,18.003,17.556,6249.0,600419
257,2018-01-19,17.838,17.599,17.992,17.46,7045.0,600419
258,2018-01-22,17.764,18.065,18.231,17.61,6911.0,600419
259,2018-01-23,17.969,18.034,18.497,17.961,8064.0,600419
260,2018-01-24,18.034,17.73,18.034,17.622,6941.0,600419
261,2018-01-25,17.733,17.622,17.845,17.575,4111.0,600419
262,2018-01-26,17.572,17.494,17.814,17.41,7483.0,600419
263,2018-01-29,17.413,17.028,17.568,16.986,7071.0,600419
264,2018-01-30,17.012,16.993,17.186,16.8,5870.0,600419
265,2018-01-31,16.993,16.935,17.186,16.685,4783.0,600419
266,2018-02-01,16.993,15.968,16.993,15.852,10921.0,600419
267,2018-02-02,15.952,15.713,16.106,15.571,6753.0,600419
268,2018-02-05,15.682,15.231,15.779,15.216,8740.0,600419
269,2018-02-06,14.788,15.154,15.752,14.788,7849.0,600419
270,2018-02-07,15.2,14.9,15.574,14.707,8361.0,600419
271,2018-02-08,14.877,15.251,15.335,14.796,4504.0,600419
272,2018-02-09,14.988,14.888,15.251,14.703,4348.0,600419
273,2018-02-12,14.834,15.092,15.216,14.796,5215.0,600419
274,2018-02-13,15.146,15.328,15.412,15.104,4258.0,600419
275,2018-02-14,15.366,15.443,15.455,15.328,3022.0,600419
276,2018-02-22,15.798,15.563,15.798,15.486,2842.0,600419
277,2018-02-23,15.52,15.559,15.59,15.397,1799.0,600419
278,2018-02-26,15.586,16.507,16.573,15.586,7707.0,600419
279,2018-02-27,16.665,16.014,16.665,15.991,9498.0,600419
280,2018-02-28,16.01,16.334,16.561,15.879,7851.0,600419
281,2018-03-01,16.068,16.577,16.92,16.029,7575.0,600419
282,2018-03-02,16.184,17.294,17.56,16.184,12308.0,600419
283,2018-03-05,17.167,17.313,18.412,17.14,12852.0,600419
284,2018-03-06,17.583,17.872,17.992,17.34,7109.0,600419
285,2018-03-07,17.841,17.583,18.038,17.568,5411.0,600419
286,2018-03-08,17.703,17.895,18.107,17.602,7965.0,600419
287,2018-03-09,18.023,17.942,18.023,17.71,4311.0,600419
288,2018-03-12,18.15,17.903,18.15,17.768,5307.0,600419
289,2018-03-13,17.915,17.791,18.104,17.633,4418.0,600419
290,2018-03-14,17.899,17.545,17.899,17.487,3184.0,600419
291,2018-03-15,17.46,17.178,17.487,16.92,5945.0,600419
292,2018-03-16,17.329,17.101,17.329,16.831,4039.0,600419
293,2018-03-19,17.101,17.44,17.629,17.012,5741.0,600419
294,2018-03-20,17.61,17.649,17.695,17.417,4116.0,600419
295,2018-03-21,17.564,17.352,17.807,17.217,4334.0,600419
296,2018-03-22,17.402,17.012,17.413,16.889,2903.0,600419
297,2018-03-23,16.191,16.245,16.874,15.705,6407.0,600419
298,2018-03-26,16.13,16.469,16.507,15.798,3864.0,600419
299,2018-03-28,18.019,18.019,18.019,17.841,19449.0,600419
300,2018-03-29,18.03,18.331,19.218,17.845,26572.0,600419
301,2018-03-30,17.996,17.988,18.304,17.602,13514.0,600419
302,2018-04-02,17.764,17.872,18.015,17.764,9102.0,600419
303,2018-04-03,17.757,17.336,17.757,17.228,7876.0,600419
304,2018-04-04,17.282,17.464,17.722,17.282,5343.0,600419
305,2018-04-09,17.448,17.201,17.456,16.916,6645.0,600419
306,2018-04-10,17.151,17.722,17.787,17.151,7569.0,600419
307,2018-04-11,17.73,17.965,18.223,17.533,8031.0,600419
308,2018-04-12,17.972,17.919,18.304,17.841,6647.0,600419
309,2018-04-13,17.919,17.888,18.231,17.772,4370.0,600419
310,2018-04-16,17.818,17.394,17.953,17.209,5756.0,600419
311,2018-04-17,17.564,17.009,17.564,16.916,4046.0,600419
312,2018-04-18,17.024,16.851,17.151,16.376,7021.0,600419
313,2018-04-19,16.839,17.44,17.529,16.82,6732.0,600419
314,2018-04-20,17.302,16.654,17.34,16.45,6909.0,600419
315,2018-04-23,16.746,16.292,16.746,16.06,5034.0,600419
316,2018-04-24,16.292,16.839,16.897,16.292,3747.0,600419
317,2018-04-25,16.77,16.743,16.839,16.665,3290.0,600419
318,2018-04-26,16.735,16.238,16.781,16.184,3842.0,600419
319,2018-04-27,16.473,15.941,16.473,15.887,7992.0,600419
320,2018-05-02,16.056,16.48,16.492,15.894,8288.0,600419
321,2018-05-03,16.072,16.735,16.839,16.072,7929.0,600419
322,2018-05-04,16.704,16.912,17.066,16.588,6902.0,600419
323,2018-05-07,17.147,17.294,17.332,16.87,8658.0,600419
324,2018-05-08,17.306,17.163,17.533,17.036,8606.0,600419
325,2018-05-09,17.225,17.282,17.383,17.09,4158.0,600419
326,2018-05-10,17.61,17.679,18.373,17.282,13106.0,600419
327,2018-05-11,17.579,17.764,18.057,17.417,8720.0,600419
328,2018-05-14,17.73,18.219,18.304,17.652,11134.0,600419
329,2018-05-15,18.111,18.709,18.805,17.93,16273.0,600419
330,2018-05-16,18.724,19.438,19.534,18.578,22934.0,600419
331,2018-05-17,19.306,18.975,19.411,18.863,10580.0,600419
332,2018-05-18,19.287,19.492,19.827,19.199,16649.0,600419
333,2018-05-21,19.773,19.68,20.039,19.387,15583.0,600419
334,2018-05-22,19.677,20.691,20.914,19.638,18537.0,600419
335,2018-05-23,20.694,20.729,20.903,20.243,12780.0,600419
336,2018-05-24,21.342,20.679,21.581,20.544,23404.0,600419
337,2018-05-25,20.347,20.432,20.721,19.889,18808.0,600419
338,2018-05-28,20.436,20.097,21.577,19.842,28956.0,600419
339,2018-05-29,19.758,19.264,20.413,19.04,48417.0,600419
340,2018-05-30,19.11,19.411,20.074,18.801,43388.0,600419
341,2018-05-31,19.812,20.521,20.868,19.657,64777.0,600419
342,2018-06-01,20.228,19.842,20.721,19.495,43252.0,600419
343,2018-06-04,19.935,20.105,20.267,19.758,28228.0,600419
344,2018-06-05,20.097,20.675,20.845,19.997,39666.0,600419
345,2018-06-06,20.799,20.76,20.922,20.382,25113.0,600419
346,2018-06-07,20.899,20.374,20.899,20.228,20404.0,600419
347,2018-06-08,20.213,20.027,20.59,19.603,21344.0,600419
348,2018-06-11,20.02,19.364,20.02,19.102,25426.0,600419
349,2018-06-12,19.765,19.68,19.881,19.303,25697.0,600419
350,2018-06-13,19.557,18.609,19.611,18.562,37620.0,600419
351,2018-06-14,18.609,17.753,19.033,17.683,50972.0,600419
352,2018-06-15,17.907,17.73,18.092,17.413,29128.0,600419
353,2018-06-19,17.629,16.681,17.629,16.465,32650.0,600419
354,2018-06-20,16.565,16.943,17.244,16.565,26805.0,600419
355,2018-06-21,16.966,16.696,17.645,16.642,25851.0,600419
356,2018-06-22,16.681,17.097,17.213,16.411,15804.0,600419
357,2018-06-25,17.259,16.496,17.491,16.411,38346.0,600419
358,2018-06-26,16.342,16.18,16.38,15.817,39383.0,600419
359,2018-06-27,16.211,15.578,16.311,15.308,56517.0,600419
360,2018-06-28,15.486,15.339,15.763,15.332,20480.0,600419
361,2018-06-29,15.416,15.74,15.817,15.393,31417.0,600419
362,2018-07-02,15.763,14.668,15.833,14.406,56151.0,600419
363,2018-07-03,14.815,14.946,15.008,14.368,32239.0,600419
364,2018-07-04,15.015,14.946,15.594,14.761,26570.0,600419
365,2018-07-05,14.746,14.422,15.1,14.306,23901.0,600419
366,2018-07-06,14.406,14.445,14.722,13.936,30950.0,600419
367,2018-07-09,14.514,14.861,14.915,14.321,21043.0,600419
368,2018-07-10,14.907,15.308,15.324,14.722,25892.0,600419
369,2018-07-11,14.946,14.961,15.023,14.568,24576.0,600419
370,2018-07-12,14.946,15.432,15.594,14.776,29402.0,600419
371,2018-07-13,15.524,15.478,15.717,15.185,34218.0,600419
372,2018-07-16,15.447,15.424,15.563,15.231,19003.0,600419
373,2018-07-17,15.486,15.2,15.524,15.062,20148.0,600419
374,2018-07-18,15.224,15.393,15.709,15.123,28639.0,600419
375,2018-07-19,15.378,15.069,15.378,15.015,19203.0,600419
376,2018-07-20,15.039,15.116,15.231,14.877,15895.0,600419
377,2018-07-23,15.108,14.9,15.177,14.645,22832.0,600419
378,2018-07-24,14.83,15.108,15.193,14.769,29002.0,600419
379,2018-07-25,15.177,14.638,15.254,14.576,48727.0,600419
380,2018-07-26,14.746,14.846,14.861,14.584,27758.0,600419
381,2018-07-27,14.715,14.853,14.946,14.568,25897.0,600419
382,2018-07-30,14.954,14.499,14.977,14.422,25324.0,600419
383,2018-07-31,14.406,14.159,14.437,14.036,27267.0,600419
384,2018-08-01,14.206,13.92,14.283,13.812,20519.0,600419
385,2018-08-02,13.928,13.45,13.944,13.142,30501.0,600419
386,2018-08-03,13.327,12.91,13.388,12.864,26077.0,600419
387,2018-08-06,12.964,12.317,12.964,12.17,33359.0,600419
388,2018-08-07,12.417,12.502,12.525,12.016,31244.0,600419
389,2018-08-08,12.448,12.278,12.633,12.17,24764.0,600419
